WARNING 2025-10-13 07:11:11,689 log Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2025-10-13 07:11:11,689 basehttp "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 28709
INFO 2025-10-13 07:11:11,771 basehttp "GET /static/libs/font-awesome/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 113152
WARNING 2025-10-13 07:11:11,811 basehttp "GET /static/libs/tom-select/tom-select.bootstrap5.css.map HTTP/1.1" 404 1995
INFO 2025-10-13 07:11:11,816 basehttp "GET /static/libs/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 590038
INFO 2025-10-13 07:11:11,826 basehttp "GET /static/libs/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 332111
WARNING 2025-10-13 07:11:11,842 basehttp "GET /static/libs/tom-select/tom-select.complete.min.js.map HTTP/1.1" 404 1998
INFO 2025-10-13 07:11:11,861 basehttp "GET /static/img/favicon.ico HTTP/1.1" 200 11624
INFO 2025-10-13 07:11:14,699 basehttp "GET /intelligent-import/api/session/01393bbe-cae4-4ffb-bffd-2dbaa9f3fa24/ HTTP/1.1" 200 574
INFO 2025-10-13 07:11:23,689 basehttp "POST /intelligent-import/api/session/01393bbe-cae4-4ffb-bffd-2dbaa9f3fa24/cancel/ HTTP/1.1" 200 63
INFO 2025-10-13 07:11:28,915 basehttp "GET /intelligent-import/api/session/2900c7a7-bdb9-416a-b082-233731a92471/ HTTP/1.1" 200 575
INFO 2025-10-13 07:11:32,901 basehttp "POST /intelligent-import/api/session/2900c7a7-bdb9-416a-b082-233731a92471/cancel/ HTTP/1.1" 200 63
INFO 2025-10-13 07:11:35,035 basehttp "GET /intelligent-import/?connection=71f7e302-0211-4310-8446-05fbc003446a HTTP/1.1" 200 44868
INFO 2025-10-13 07:11:35,077 basehttp "GET /static/libs/tom-select/tom-select.bootstrap5.css HTTP/1.1" 200 18194
INFO 2025-10-13 07:11:35,077 basehttp "GET /static/libs/sweetalert2/sweetalert2.min.css HTTP/1.1" 200 30601
INFO 2025-10-13 07:11:35,082 basehttp "GET /static/css/intelligent_import.css HTTP/1.1" 200 1715
INFO 2025-10-13 07:11:35,083 basehttp "GET /static/libs/font-awesome/css/all.min.css HTTP/1.1" 200 74320
INFO 2025-10-13 07:11:35,087 basehttp "GET /static/libs/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 200 99556
INFO 2025-10-13 07:11:35,089 basehttp "GET /static/js/toast-notifications.js HTTP/1.1" 200 2161
INFO 2025-10-13 07:11:35,090 basehttp "GET /static/libs/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 80496
INFO 2025-10-13 07:11:35,096 basehttp "GET /static/libs/tom-select/tom-select.complete.min.js HTTP/1.1" 200 50720
INFO 2025-10-13 07:11:35,096 basehttp "GET /static/libs/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 232111
INFO 2025-10-13 07:11:35,103 basehttp "GET /static/admin/js/vendor/jquery/jquery.min.js HTTP/1.1" 200 89795
INFO 2025-10-13 07:11:35,103 basehttp "GET /static/js/intelligent_import_manager.js HTTP/1.1" 200 48827
INFO 2025-10-13 07:11:35,104 basehttp "GET /static/libs/sweetalert2/sweetalert2.all.min.js HTTP/1.1" 200 78487
INFO 2025-10-13 07:11:35,123 basehttp "GET /static/libs/font-awesome/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 113152
WARNING 2025-10-13 07:11:35,127 log Not Found: /.well-known/appspecific/com.chrome.devtools.json
INFO 2025-10-13 07:11:35,128 basehttp "GET /static/libs/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 332111
WARNING 2025-10-13 07:11:35,129 basehttp "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 28709
WARNING 2025-10-13 07:11:35,167 basehttp "GET /static/libs/tom-select/tom-select.bootstrap5.css.map HTTP/1.1" 404 1995
INFO 2025-10-13 07:11:35,172 basehttp "GET /static/libs/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 590038
WARNING 2025-10-13 07:11:35,189 basehttp "GET /static/libs/tom-select/tom-select.complete.min.js.map HTTP/1.1" 404 1998
INFO 2025-10-13 07:11:35,209 basehttp "GET /static/img/favicon.ico HTTP/1.1" 200 11624
WARNING 2025-10-13 07:11:51,808 log Bad Request: /intelligent-import/api/upload-analyze/
WARNING 2025-10-13 07:11:51,809 basehttp "POST /intelligent-import/api/upload-analyze/ HTTP/1.1" 400 159
INFO 2025-10-13 07:12:55,756 basehttp "GET /intelligent-import/?connection=71f7e302-0211-4310-8446-05fbc003446a HTTP/1.1" 200 44868
INFO 2025-10-13 07:12:55,811 basehttp "GET /static/libs/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 232111
INFO 2025-10-13 07:12:55,814 basehttp "GET /static/libs/tom-select/tom-select.bootstrap5.css HTTP/1.1" 200 18194
INFO 2025-10-13 07:12:55,816 basehttp "GET /static/libs/sweetalert2/sweetalert2.min.css HTTP/1.1" 200 30601
INFO 2025-10-13 07:12:55,816 basehttp "GET /static/css/intelligent_import.css HTTP/1.1" 200 1715
INFO 2025-10-13 07:12:55,824 basehttp "GET /static/libs/font-awesome/css/all.min.css HTTP/1.1" 200 74320
INFO 2025-10-13 07:12:55,828 basehttp "GET /static/libs/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 200 99556
INFO 2025-10-13 07:12:55,836 basehttp "GET /static/libs/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 80496
INFO 2025-10-13 07:12:55,836 basehttp "GET /static/libs/tom-select/tom-select.complete.min.js HTTP/1.1" 200 50720
INFO 2025-10-13 07:12:55,837 basehttp "GET /static/js/toast-notifications.js HTTP/1.1" 200 2161
INFO 2025-10-13 07:12:55,848 basehttp "GET /static/js/intelligent_import_manager.js HTTP/1.1" 200 49034
INFO 2025-10-13 07:12:55,850 basehttp "GET /static/libs/sweetalert2/sweetalert2.all.min.js HTTP/1.1" 200 78487
INFO 2025-10-13 07:12:55,859 basehttp "GET /static/admin/js/vendor/jquery/jquery.min.js HTTP/1.1" 200 89795
INFO 2025-10-13 07:12:55,872 basehttp "GET /static/libs/font-awesome/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 113152
WARNING 2025-10-13 07:12:55,886 log Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2025-10-13 07:12:55,886 basehttp "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 28709
WARNING 2025-10-13 07:12:55,900 basehttp "GET /static/libs/tom-select/tom-select.bootstrap5.css.map HTTP/1.1" 404 1995
INFO 2025-10-13 07:12:55,907 basehttp "GET /static/libs/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 332111
WARNING 2025-10-13 07:12:55,921 basehttp "GET /static/libs/tom-select/tom-select.complete.min.js.map HTTP/1.1" 404 1998
INFO 2025-10-13 07:12:55,923 basehttp "GET /static/libs/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 590038
INFO 2025-10-13 07:12:55,945 basehttp "GET /static/img/favicon.ico HTTP/1.1" 200 11624
WARNING 2025-10-13 07:13:02,068 log Bad Request: /intelligent-import/api/upload-analyze/
WARNING 2025-10-13 07:13:02,068 basehttp "POST /intelligent-import/api/upload-analyze/ HTTP/1.1" 400 159
INFO 2025-10-13 07:17:28,724 basehttp "GET /intelligent-import/?connection=71f7e302-0211-4310-8446-05fbc003446a HTTP/1.1" 200 44998
INFO 2025-10-13 07:17:28,774 basehttp "GET /static/libs/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 232111
INFO 2025-10-13 07:17:28,777 basehttp "GET /static/libs/sweetalert2/sweetalert2.min.css HTTP/1.1" 200 30601
INFO 2025-10-13 07:17:28,784 basehttp "GET /static/libs/tom-select/tom-select.bootstrap5.css HTTP/1.1" 200 18194
INFO 2025-10-13 07:17:28,786 basehttp "GET /static/libs/font-awesome/css/all.min.css HTTP/1.1" 200 74320
INFO 2025-10-13 07:17:28,791 basehttp "GET /static/css/intelligent_import.css HTTP/1.1" 200 1715
INFO 2025-10-13 07:17:28,798 basehttp "GET /static/libs/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 200 99556
INFO 2025-10-13 07:17:28,799 basehttp "GET /static/js/toast-notifications.js HTTP/1.1" 200 2161
INFO 2025-10-13 07:17:28,803 basehttp "GET /static/libs/sweetalert2/sweetalert2.all.min.js HTTP/1.1" 200 78487
INFO 2025-10-13 07:17:28,809 basehttp "GET /static/libs/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 80496
INFO 2025-10-13 07:17:28,817 basehttp "GET /static/libs/tom-select/tom-select.complete.min.js HTTP/1.1" 200 50720
INFO 2025-10-13 07:17:28,822 basehttp "GET /static/admin/js/vendor/jquery/jquery.min.js HTTP/1.1" 200 89795
INFO 2025-10-13 07:17:28,822 basehttp "GET /static/js/intelligent_import_manager.js HTTP/1.1" 200 48538
WARNING 2025-10-13 07:17:28,855 log Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2025-10-13 07:17:28,856 basehttp "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 28709
INFO 2025-10-13 07:17:28,928 basehttp "GET /static/libs/font-awesome/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 113152
WARNING 2025-10-13 07:17:28,992 basehttp "GET /static/libs/tom-select/tom-select.bootstrap5.css.map HTTP/1.1" 404 1995
INFO 2025-10-13 07:17:29,001 basehttp "GET /static/libs/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 332111
INFO 2025-10-13 07:17:29,005 basehttp "GET /static/libs/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 590038
WARNING 2025-10-13 07:17:29,026 basehttp "GET /static/libs/tom-select/tom-select.complete.min.js.map HTTP/1.1" 404 1998
INFO 2025-10-13 07:17:29,064 basehttp "GET /static/img/favicon.ico HTTP/1.1" 200 11624
WARNING 2025-10-13 07:17:35,189 log Bad Request: /intelligent-import/api/upload-analyze/
WARNING 2025-10-13 07:17:35,189 basehttp "POST /intelligent-import/api/upload-analyze/ HTTP/1.1" 400 159
INFO 2025-10-13 07:17:35,241 basehttp "GET /intelligent-import/api/session/2900c7a7-bdb9-416a-b082-233731a92471/ HTTP/1.1" 200 683
INFO 2025-10-13 07:20:10,577 basehttp "GET /data-management/ HTTP/1.1" 200 37573
INFO 2025-10-13 07:20:10,650 basehttp "GET /static/libs/sweetalert2/sweetalert2.min.css HTTP/1.1" 200 30601
INFO 2025-10-13 07:20:10,658 basehttp "GET /static/libs/tom-select/tom-select.bootstrap5.css HTTP/1.1" 200 18194
INFO 2025-10-13 07:20:10,659 basehttp "GET /static/css/data_management.css HTTP/1.1" 200 2737
INFO 2025-10-13 07:20:10,660 basehttp "GET /static/libs/font-awesome/css/all.min.css HTTP/1.1" 200 74320
INFO 2025-10-13 07:20:10,662 basehttp "GET /static/libs/bootstrap-icons/bootstrap-icons.css HTTP/1.1" 200 99556
INFO 2025-10-13 07:20:10,676 basehttp "GET /static/js/toast-notifications.js HTTP/1.1" 200 2161
INFO 2025-10-13 07:20:10,677 basehttp "GET /static/libs/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 80496
INFO 2025-10-13 07:20:10,679 basehttp "GET /static/js/data_management.js HTTP/1.1" 200 79125
INFO 2025-10-13 07:20:10,683 basehttp "GET /static/libs/tom-select/tom-select.complete.min.js HTTP/1.1" 200 50720
INFO 2025-10-13 07:20:10,685 basehttp "GET /static/libs/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 232111
INFO 2025-10-13 07:20:10,691 basehttp "GET /static/libs/sweetalert2/sweetalert2.all.min.js HTTP/1.1" 200 78487
INFO 2025-10-13 07:20:10,713 basehttp "GET /static/libs/bootstrap-icons/fonts/bootstrap-icons.woff2?e34853135f9e39acf64315236852cd5a HTTP/1.1" 200 134044
INFO 2025-10-13 07:20:10,715 basehttp "GET /static/libs/font-awesome/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 113152
WARNING 2025-10-13 07:20:10,717 log Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2025-10-13 07:20:10,719 basehttp "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 28709
WARNING 2025-10-13 07:20:10,763 basehttp "GET /static/libs/tom-select/tom-select.bootstrap5.css.map HTTP/1.1" 404 1995
INFO 2025-10-13 07:20:10,765 basehttp "GET /static/libs/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 332111
INFO 2025-10-13 07:20:10,765 basehttp "GET /static/libs/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 590038
WARNING 2025-10-13 07:20:10,786 basehttp "GET /static/libs/tom-select/tom-select.complete.min.js.map HTTP/1.1" 404 1998
INFO 2025-10-13 07:20:10,792 basehttp "GET /api/connections/ HTTP/1.1" 200 1162
INFO 2025-10-13 07:20:14,067 basehttp "GET /api/data/visible-tables/71f7e302-0211-4310-8446-05fbc003446a/ HTTP/1.1" 200 235
INFO 2025-10-13 07:20:19,030 basehttp "GET /intelligent-import/?connection=71f7e302-0211-4310-8446-05fbc003446a HTTP/1.1" 200 44998
INFO 2025-10-13 07:20:19,099 basehttp "GET /static/libs/sweetalert2/sweetalert2.min.css HTTP/1.1" 200 30601
